Topics,Alpha,Beta,Coherence
3,0.01,0.01,0.760113898436809
3,0.01,0.31,0.7329383441822831
3,0.01,0.61,0.7383414639274551
3,0.01,0.9099999999999999,0.772654643797337
3,0.01,symmetric,0.7370644680531838
3,0.31,0.01,0.7855539739244618
3,0.31,0.31,0.7319340068271538
3,0.31,0.61,0.765146752623099
3,0.31,0.9099999999999999,0.7543145325341377
3,0.31,symmetric,0.7461423401935957
3,0.61,0.01,0.7908293174744635
3,0.61,0.31,0.7450748092619724
3,0.61,0.61,0.7483550547357046
3,0.61,0.9099999999999999,0.7610917255638916
3,0.61,symmetric,0.7447298917829923
3,0.9099999999999999,0.01,0.7852258885165663
3,0.9099999999999999,0.31,0.7575760343534671
3,0.9099999999999999,0.61,0.7462369151342877
3,0.9099999999999999,0.9099999999999999,0.759781545479596
3,0.9099999999999999,symmetric,0.7492435012923044
3,symmetric,0.01,0.7800716154235401
3,symmetric,0.31,0.7442658115753126
3,symmetric,0.61,0.7399491465460212
3,symmetric,0.9099999999999999,0.7696991898891549
3,symmetric,symmetric,0.7464209685581658
3,asymmetric,0.01,0.7899739960361783
3,asymmetric,0.31,0.7580866044259555
3,asymmetric,0.61,0.7732314362795535
3,asymmetric,0.9099999999999999,0.782314782655244
3,asymmetric,symmetric,0.7346905877487471
4,0.01,0.01,0.7810734894677668
4,0.01,0.31,0.7419079732702959
4,0.01,0.61,0.7553105632127799
4,0.01,0.9099999999999999,0.7573245890389415
4,0.01,symmetric,0.7499561487425839
4,0.31,0.01,0.7832361785018191
4,0.31,0.31,0.7435447038147001
4,0.31,0.61,0.7697533942853871
4,0.31,0.9099999999999999,0.7522081579362113
4,0.31,symmetric,0.7503304830835312
4,0.61,0.01,0.7830112432226327
4,0.61,0.31,0.7540718222690841
4,0.61,0.61,0.7599531685248302
4,0.61,0.9099999999999999,0.7404121940252182
4,0.61,symmetric,0.7666246780538819
4,0.9099999999999999,0.01,0.7768864830316933
4,0.9099999999999999,0.31,0.7654153591973878
4,0.9099999999999999,0.61,0.7482996438737866
4,0.9099999999999999,0.9099999999999999,0.7484461587713351
4,0.9099999999999999,symmetric,0.7571428324558532
4,symmetric,0.01,0.7704242952464151
4,symmetric,0.31,0.732656362283224
4,symmetric,0.61,0.7806301281846522
4,symmetric,0.9099999999999999,0.7568643508126088
4,symmetric,symmetric,0.7830523591187369
4,asymmetric,0.01,0.780901616224006
4,asymmetric,0.31,0.7753670946125513
4,asymmetric,0.61,0.7485780365335767
4,asymmetric,0.9099999999999999,0.761693746865716
4,asymmetric,symmetric,0.771239671676084
